1776505047.410239 server started (1757): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1776505047.410269 on Linux 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026
1776505047.410275 using libevent 2.1.12-stable poll
1776505047.410277 using ncurses 6.4 20240113
1776505047.453196 yylex_token: end at ;
1776505047.453197 yylex_token: select-pane
1776505047.453199 yylex_token: end at WS
1776505047.453201 yylex_token: send
1776505047.453202 yylex_token: end at WS
1776505047.453203 yylex_token: -X
1776505047.453205 yylex_token: end at WS
1776505047.453206 yylex_token: begin-selection
1776505047.453209 cmd_parse_build_commands 0:0: bind
1776505047.453211 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.453213 cmd_parse_build_commands 0:2: MouseDrag1Pane
1776505047.453214 cmd_parse_build_commands 0:3 0:0: select-pane
1776505047.453216 cmd_parse_build_commands 0:3 1:0: send
1776505047.453218 cmd_parse_build_commands 0:3 1:1: -X
1776505047.453219 cmd_parse_build_commands 0:3 1:2: begin-selection
1776505047.453221 cmd_parse_build_commands 0:0: select-pane
1776505047.453223 cmd_parse_build_commands 1:0: send
1776505047.453224 cmd_parse_build_commands 1:1: -X
1776505047.453226 cmd_parse_build_commands 1:2: begin-selection
1776505047.453229 args_parse: flags end at 1 of 1
1776505047.453232 args_parse_flags: next -X
1776505047.453233 args_parse_flags: -X
1776505047.453235 args_parse_flags: next begin-selection
1776505047.453236 args_parse: flags end at 2 of 3
1776505047.453238 args_parse: 2 = begin-selection (type STRING)
1776505047.453241 cmd_parse_build_commands: select-pane ; send-keys -X begin-selection
1776505047.453243 args_parse_flags: next -Tcopy-mode
1776505047.453244 args_parse_flag_argument: -T = copy-mode
1776505047.453246 args_parse_flags: next MouseDrag1Pane
1776505047.453247 args_parse: flags end at 2 of 4
1776505047.453249 args_parse: 2 = MouseDrag1Pane (type STRING)
1776505047.453252 args_parse: 3 = select-pane ; send-keys -X begin-selection (type COMMANDS)
1776505047.453261 cmd_parse_build_commands: bind-key -T copy-mode MouseDrag1Pane { select-pane ; send-keys -X begin-selection }
1776505047.453264 cmdq_get_command: [bind-key/0x5ff2b06328e0] group 1579
1776505047.453265 cmdq_append <global>: [bind-key/0x5ff2b06328e0]
1776505047.453270 yylex_token: end at WS
1776505047.453271 yylex_token: bind
1776505047.453273 yylex_token: end at WS
1776505047.453274 yylex_token: -Tcopy-mode
1776505047.453276 yylex_token: end at WS
1776505047.453278 yylex_token: MouseDragEnd1Pane
1776505047.453279 yylex_token: end at WS
1776505047.453280 yylex_token: send
1776505047.453282 yylex_token: end at WS
1776505047.453283 yylex_token: -X
1776505047.453285 yylex_token: end at WS
1776505047.453286 yylex_token: copy-pipe-and-cancel
1776505047.453289 cmd_parse_build_commands 0:0: bind
1776505047.453290 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.453292 cmd_parse_build_commands 0:2: MouseDragEnd1Pane
1776505047.453294 cmd_parse_build_commands 0:3 0:0: send
1776505047.453295 cmd_parse_build_commands 0:3 0:1: -X
1776505047.453297 cmd_parse_build_commands 0:3 0:2: copy-pipe-and-cancel
1776505047.453299 cmd_parse_build_commands 0:0: send
1776505047.453301 cmd_parse_build_commands 0:1: -X
1776505047.453303 cmd_parse_build_commands 0:2: copy-pipe-and-cancel
1776505047.453306 args_parse_flags: next -X
1776505047.453307 args_parse_flags: -X
1776505047.453309 args_parse_flags: next copy-pipe-and-cancel
1776505047.453310 args_parse: flags end at 2 of 3
1776505047.453312 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1776505047.453315 cmd_parse_build_commands: send-keys -X copy-pipe-and-cancel
1776505047.453317 args_parse_flags: next -Tcopy-mode
1776505047.453319 args_parse_flag_argument: -T = copy-mode
1776505047.453320 args_parse_flags: next MouseDragEnd1Pane
1776505047.453322 args_parse: flags end at 2 of 4
1776505047.453324 args_parse: 2 = MouseDragEnd1Pane (type STRING)
1776505047.453326 args_parse: 3 = send-keys -X copy-pipe-and-cancel (type COMMANDS)
1776505047.453332 cmd_parse_build_commands: bind-key -T copy-mode MouseDragEnd1Pane { send-keys -X copy-pipe-and-cancel }
1776505047.453334 cmdq_get_command: [bind-key/0x5ff2b0632cd0] group 1588
1776505047.453336 cmdq_append <global>: [bind-key/0x5ff2b0632cd0]
1776505047.453339 yylex_token: end at WS
1776505047.453340 yylex_token: bind
1776505047.453342 yylex_token: end at WS
1776505047.453343 yylex_token: -Tcopy-mode
1776505047.453345 yylex_token: end at WS
1776505047.453346 yylex_token: WheelUpPane
1776505047.453348 yylex_token: end at ;
1776505047.453349 yylex_token: select-pane
1776505047.453351 yylex_token: end at WS
1776505047.453352 yylex_token: send
1776505047.453354 yylex_token: end at WS
1776505047.453355 yylex_token: -N5
1776505047.453356 yylex_token: end at WS
1776505047.453357 yylex_token: -X
1776505047.453359 yylex_token: end at WS
1776505047.453360 yylex_token: scroll-up
1776505047.453362 cmd_parse_build_commands 0:0: bind
1776505047.453364 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.453366 cmd_parse_build_commands 0:2: WheelUpPane
1776505047.453367 cmd_parse_build_commands 0:3 0:0: select-pane
1776505047.453369 cmd_parse_build_commands 0:3 1:0: send
1776505047.453771 cmd_parse_build_commands 0:3 1:1: -N5
1776505047.453783 cmd_parse_build_commands 0:3 1:2: -X
1776505047.453787 cmd_parse_build_commands 0:3 1:3: scroll-up
1776505047.453793 cmd_parse_build_commands 0:0: select-pane
1776505047.453796 cmd_parse_build_commands 1:0: send
1776505047.453798 cmd_parse_build_commands 1:1: -N5
1776505047.453800 cmd_parse_build_commands 1:2: -X
1776505047.453802 cmd_parse_build_commands 1:3: scroll-up
1776505047.453808 args_parse: flags end at 1 of 1
1776505047.453813 args_parse_flags: next -N5
1776505047.453816 args_parse_flag_argument: -N = 5
1776505047.453818 args_parse_flags: next -X
1776505047.453820 args_parse_flags: -X
1776505047.453822 args_parse_flags: next scroll-up
1776505047.453825 args_parse: flags end at 3 of 4
1776505047.453827 args_parse: 3 = scroll-up (type STRING)
1776505047.453837 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-up
1776505047.453855 args_parse_flags: next -Tcopy-mode
1776505047.453858 args_parse_flag_argument: -T = copy-mode
1776505047.453863 args_parse_flags: next WheelUpPane
1776505047.453873 args_parse: flags end at 2 of 4
1776505047.453876 args_parse: 2 = WheelUpPane (type STRING)
1776505047.453887 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-up (type COMMANDS)
1776505047.453898 cmd_parse_build_commands: bind-key -T copy-mode WheelUpPane { select-pane ; send-keys -X -N 5 scroll-up }
1776505047.453904 cmdq_get_command: [bind-key/0x5ff2b0633840] group 1596
1776505047.453906 cmdq_append <global>: [bind-key/0x5ff2b0633840]
1776505047.453927 yylex_token: end at WS
1776505047.453936 yylex_token: bind
1776505047.453940 yylex_token: end at WS
1776505047.453942 yylex_token: -Tcopy-mode
1776505047.453945 yylex_token: end at WS
1776505047.453947 yylex_token: WheelDownPane
1776505047.453950 yylex_token: end at ;
1776505047.453952 yylex_token: select-pane
1776505047.453955 yylex_token: end at WS
1776505047.453956 yylex_token: send
1776505047.453958 yylex_token: end at WS
1776505047.453960 yylex_token: -N5
1776505047.453962 yylex_token: end at WS
1776505047.453964 yylex_token: -X
1776505047.453966 yylex_token: end at WS
1776505047.453968 yylex_token: scroll-down
1776505047.453973 cmd_parse_build_commands 0:0: bind
1776505047.453976 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.453978 cmd_parse_build_commands 0:2: WheelDownPane
1776505047.453981 cmd_parse_build_commands 0:3 0:0: select-pane
1776505047.453983 cmd_parse_build_commands 0:3 1:0: send
1776505047.453985 cmd_parse_build_commands 0:3 1:1: -N5
1776505047.453987 cmd_parse_build_commands 0:3 1:2: -X
1776505047.453989 cmd_parse_build_commands 0:3 1:3: scroll-down
1776505047.453995 cmd_parse_build_commands 0:0: select-pane
1776505047.453997 cmd_parse_build_commands 1:0: send
1776505047.453999 cmd_parse_build_commands 1:1: -N5
1776505047.454001 cmd_parse_build_commands 1:2: -X
1776505047.454003 cmd_parse_build_commands 1:3: scroll-down
1776505047.454009 args_parse: flags end at 1 of 1
1776505047.454013 args_parse_flags: next -N5
1776505047.454016 args_parse_flag_argument: -N = 5
1776505047.454018 args_parse_flags: next -X
1776505047.454020 args_parse_flags: -X
1776505047.454023 args_parse_flags: next scroll-down
1776505047.454025 args_parse: flags end at 3 of 4
1776505047.454027 args_parse: 3 = scroll-down (type STRING)
1776505047.454355 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-down
1776505047.454360 args_parse_flags: next -Tcopy-mode
1776505047.454363 args_parse_flag_argument: -T = copy-mode
1776505047.454366 args_parse_flags: next WheelDownPane
1776505047.454368 args_parse: flags end at 2 of 4
1776505047.454371 args_parse: 2 = WheelDownPane (type STRING)
1776505047.454378 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-down (type COMMANDS)
1776505047.454389 cmd_parse_build_commands: bind-key -T copy-mode WheelDownPane { select-pane ; send-keys -X -N 5 scroll-down }
1776505047.454394 cmdq_get_command: [bind-key/0x5ff2b0633cc0] group 1605
1776505047.454397 cmdq_append <global>: [bind-key/0x5ff2b0633cc0]
1776505047.454407 yylex_token: end at WS
1776505047.454416 yylex_token: bind
1776505047.454420 yylex_token: end at WS
1776505047.454422 yylex_token: -Tcopy-mode
1776505047.454425 yylex_token: end at WS
1776505047.454427 yylex_token: DoubleClick1Pane
1776505047.454430 yylex_token: end at ;
1776505047.454432 yylex_token: select-pane
1776505047.454435 yylex_token: end at WS
1776505047.454474 yylex_token: send
1776505047.454486 yylex_token: end at WS
1776505047.454488 yylex_token: -X
1776505047.454491 yylex_token: end at ;
1776505047.454493 yylex_token: select-word
1776505047.454497 yylex_token: end at WS
1776505047.454498 yylex_token: run
1776505047.454501 yylex_token: end at ;
1776505047.454502 yylex_token: -d0.3
1776505047.454505 yylex_token: end at WS
1776505047.454507 yylex_token: send
1776505047.454509 yylex_token: end at WS
1776505047.454510 yylex_token: -X
1776505047.454513 yylex_token: end at WS
1776505047.454841 yylex_token: copy-pipe-and-cancel
1776505047.454861 cmd_parse_build_commands 0:0: bind
1776505047.454865 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.454867 cmd_parse_build_commands 0:2: DoubleClick1Pane
1776505047.454870 cmd_parse_build_commands 0:3 0:0: select-pane
1776505047.454871 cmd_parse_build_commands 0:3 1:0: send
1776505047.454873 cmd_parse_build_commands 0:3 1:1: -X
1776505047.454874 cmd_parse_build_commands 0:3 1:2: select-word
1776505047.454876 cmd_parse_build_commands 0:3 2:0: run
1776505047.454878 cmd_parse_build_commands 0:3 2:1: -d0.3
1776505047.454879 cmd_parse_build_commands 0:3 3:0: send
1776505047.454881 cmd_parse_build_commands 0:3 3:1: -X
1776505047.454883 cmd_parse_build_commands 0:3 3:2: copy-pipe-and-cancel
1776505047.454887 cmd_parse_build_commands 0:0: select-pane
1776505047.454889 cmd_parse_build_commands 1:0: send
1776505047.454890 cmd_parse_build_commands 1:1: -X
1776505047.454892 cmd_parse_build_commands 1:2: select-word
1776505047.454894 cmd_parse_build_commands 2:0: run
1776505047.454895 cmd_parse_build_commands 2:1: -d0.3
1776505047.454896 cmd_parse_build_commands 3:0: send
1776505047.454898 cmd_parse_build_commands 3:1: -X
1776505047.454899 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1776505047.454903 args_parse: flags end at 1 of 1
1776505047.454907 args_parse_flags: next -X
1776505047.454908 args_parse_flags: -X
1776505047.454910 args_parse_flags: next select-word
1776505047.454912 args_parse: flags end at 2 of 3
1776505047.454913 args_parse: 2 = select-word (type STRING)
1776505047.454916 args_parse_flags: next -d0.3
1776505047.454918 args_parse_flag_argument: -d = 0.3
1776505047.454920 args_parse: flags end at 2 of 2
1776505047.454922 args_parse_flags: next -X
1776505047.454924 args_parse_flags: -X
1776505047.454925 args_parse_flags: next copy-pipe-and-cancel
1776505047.454927 args_parse: flags end at 2 of 3
1776505047.454928 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1776505047.454939 cmd_parse_build_commands: select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1776505047.454941 args_parse_flags: next -Tcopy-mode
1776505047.454943 args_parse_flag_argument: -T = copy-mode
1776505047.454944 args_parse_flags: next DoubleClick1Pane
1776505047.454946 args_parse: flags end at 2 of 4
1776505047.454948 args_parse: 2 = DoubleClick1Pane (type STRING)
1776505047.454954 args_parse: 3 = select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1776505047.454963 cmd_parse_build_commands: bind-key -T copy-mode DoubleClick1Pane { select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1776505047.454967 cmdq_get_command: [bind-key/0x5ff2b06349f0] group 1614
1776505047.454969 cmdq_append <global>: [bind-key/0x5ff2b06349f0]
1776505047.454984 yylex_token: end at WS
1776505047.454985 yylex_token: bind
1776505047.454988 yylex_token: end at WS
1776505047.454989 yylex_token: -Tcopy-mode
1776505047.454991 yylex_token: end at WS
1776505047.454993 yylex_token: TripleClick1Pane
1776505047.454995 yylex_token: end at ;
1776505047.454996 yylex_token: select-pane
1776505047.454998 yylex_token: end at WS
1776505047.454999 yylex_token: send
1776505047.455001 yylex_token: end at WS
1776505047.455002 yylex_token: -X
1776505047.455004 yylex_token: end at ;
1776505047.455005 yylex_token: select-line
1776505047.455007 yylex_token: end at WS
1776505047.455008 yylex_token: run
1776505047.455010 yylex_token: end at ;
1776505047.455011 yylex_token: -d0.3
1776505047.455013 yylex_token: end at WS
1776505047.455014 yylex_token: send
1776505047.455015 yylex_token: end at WS
1776505047.455017 yylex_token: -X
1776505047.455018 yylex_token: end at WS
1776505047.455020 yylex_token: copy-pipe-and-cancel
1776505047.455022 cmd_parse_build_commands 0:0: bind
1776505047.455024 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.455026 cmd_parse_build_commands 0:2: TripleClick1Pane
1776505047.455028 cmd_parse_build_commands 0:3 0:0: select-pane
1776505047.455033 cmd_parse_build_commands 0:3 1:0: send
1776505047.455035 cmd_parse_build_commands 0:3 1:1: -X
1776505047.455036 cmd_parse_build_commands 0:3 1:2: select-line
1776505047.455038 cmd_parse_build_commands 0:3 2:0: run
1776505047.455039 cmd_parse_build_commands 0:3 2:1: -d0.3
1776505047.455041 cmd_parse_build_commands 0:3 3:0: send
1776505047.455042 cmd_parse_build_commands 0:3 3:1: -X
1776505047.455044 cmd_parse_build_commands 0:3 3:2: copy-pipe-and-cancel
1776505047.455046 cmd_parse_build_commands 0:0: select-pane
1776505047.455048 cmd_parse_build_commands 1:0: send
1776505047.455049 cmd_parse_build_commands 1:1: -X
1776505047.455051 cmd_parse_build_commands 1:2: select-line
1776505047.455052 cmd_parse_build_commands 2:0: run
1776505047.455054 cmd_parse_build_commands 2:1: -d0.3
1776505047.455055 cmd_parse_build_commands 3:0: send
1776505047.455057 cmd_parse_build_commands 3:1: -X
1776505047.455058 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1776505047.455062 args_parse: flags end at 1 of 1
1776505047.455065 args_parse_flags: next -X
1776505047.455066 args_parse_flags: -X
1776505047.455068 args_parse_flags: next select-line
1776505047.455069 args_parse: flags end at 2 of 3
1776505047.455071 args_parse: 2 = select-line (type STRING)
1776505047.455074 args_parse_flags: next -d0.3
1776505047.455076 args_parse_flag_argument: -d = 0.3
1776505047.455077 args_parse: flags end at 2 of 2
1776505047.455080 args_parse_flags: next -X
1776505047.455081 args_parse_flags: -X
1776505047.455083 args_parse_flags: next copy-pipe-and-cancel
1776505047.455084 args_parse: flags end at 2 of 3
1776505047.455086 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1776505047.455092 cmd_parse_build_commands: select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1776505047.455094 args_parse_flags: next -Tcopy-mode
1776505047.455095 args_parse_flag_argument: -T = copy-mode
1776505047.455097 args_parse_flags: next TripleClick1Pane
1776505047.455098 args_parse: flags end at 2 of 4
1776505047.455100 args_parse: 2 = TripleClick1Pane (type STRING)
1776505047.455105 args_parse: 3 = select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1776505047.455112 cmd_parse_build_commands: bind-key -T copy-mode TripleClick1Pane { select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1776505047.455115 cmdq_get_command: [bind-key/0x5ff2b0634f70] group 1625
1776505047.455117 cmdq_append <global>: [bind-key/0x5ff2b0634f70]
1776505047.455120 yylex_token: end at WS
1776505047.455122 yylex_token: bind
1776505047.455123 yylex_token: end at WS
1776505047.455125 yylex_token: -Tcopy-mode
1776505047.455126 yylex_token: end at WS
1776505047.455128 yylex_token: NPage
1776505047.455129 yylex_token: end at WS
1776505047.455130 yylex_token: send
1776505047.455132 yylex_token: end at WS
1776505047.455133 yylex_token: -X
1776505047.455135 yylex_token: end at WS
1776505047.455136 yylex_token: page-down
1776505047.455138 cmd_parse_build_commands 0:0: bind
1776505047.455140 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.455141 cmd_parse_build_commands 0:2: NPage
1776505047.455143 cmd_parse_build_commands 0:3 0:0: send
1776505047.455144 cmd_parse_build_commands 0:3 0:1: -X
1776505047.455146 cmd_parse_build_commands 0:3 0:2: page-down
1776505047.455148 cmd_parse_build_commands 0:0: send
1776505047.455150 cmd_parse_build_commands 0:1: -X
1776505047.455151 cmd_parse_build_commands 0:2: page-down
1776505047.455154 args_parse_flags: next -X
1776505047.455155 args_parse_flags: -X
1776505047.455157 args_parse_flags: next page-down
1776505047.455158 args_parse: flags end at 2 of 3
1776505047.455160 args_parse: 2 = page-down (type STRING)
1776505047.455163 cmd_parse_build_commands: send-keys -X page-down
1776505047.455164 args_parse_flags: next -Tcopy-mode
1776505047.455166 args_parse_flag_argument: -T = copy-mode
1776505047.455168 args_parse_flags: next NPage
1776505047.455169 args_parse: flags end at 2 of 4
1776505047.455171 args_parse: 2 = NPage (type STRING)
1776505047.455176 args_parse: 3 = send-keys -X page-down (type COMMANDS)
1776505047.455181 cmd_parse_build_commands: bind-key -T copy-mode NPage { send-keys -X page-down }
1776505047.455184 cmdq_get_command: [bind-key/0x5ff2b0634cd0] group 1636
1776505047.455185 cmdq_append <global>: [bind-key/0x5ff2b0634cd0]
1776505047.455188 yylex_token: end at WS
1776505047.455190 yylex_token: bind
1776505047.455191 yylex_token: end at WS
1776505047.455193 yylex_token: -Tcopy-mode
1776505047.455194 yylex_token: end at WS
1776505047.455195 yylex_token: PPage
1776505047.455197 yylex_token: end at WS
1776505047.455198 yylex_token: send
1776505047.455199 yylex_token: end at WS
1776505047.455201 yylex_token: -X
1776505047.455202 yylex_token: end at WS
1776505047.455203 yylex_token: page-up
1776505047.455205 cmd_parse_build_commands 0:0: bind
1776505047.455207 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.455209 cmd_parse_build_commands 0:2: PPage
1776505047.455210 cmd_parse_build_commands 0:3 0:0: send
1776505047.455212 cmd_parse_build_commands 0:3 0:1: -X
1776505047.455213 cmd_parse_build_commands 0:3 0:2: page-up
1776505047.455215 cmd_parse_build_commands 0:0: send
1776505047.455217 cmd_parse_build_commands 0:1: -X
1776505047.455218 cmd_parse_build_commands 0:2: page-up
1776505047.455221 args_parse_flags: next -X
1776505047.455222 args_parse_flags: -X
1776505047.455224 args_parse_flags: next page-up
1776505047.455225 args_parse: flags end at 2 of 3
1776505047.455227 args_parse: 2 = page-up (type STRING)
1776505047.455230 cmd_parse_build_commands: send-keys -X page-up
1776505047.455231 args_parse_flags: next -Tcopy-mode
1776505047.455233 args_parse_flag_argument: -T = copy-mode
1776505047.455234 args_parse_flags: next PPage
1776505047.455236 args_parse: flags end at 2 of 4
1776505047.455237 args_parse: 2 = PPage (type STRING)
1776505047.455240 args_parse: 3 = send-keys -X page-up (type COMMANDS)
1776505047.455245 cmd_parse_build_commands: bind-key -T copy-mode PPage { send-keys -X page-up }
1776505047.455247 cmdq_get_command: [bind-key/0x5ff2b06350d0] group 1644
1776505047.455249 cmdq_append <global>: [bind-key/0x5ff2b06350d0]
1776505047.455252 yylex_token: end at WS
1776505047.455253 yylex_token: bind
1776505047.455255 yylex_token: end at WS
1776505047.455256 yylex_token: -Tcopy-mode
1776505047.455257 yylex_token: end at WS
1776505047.455259 yylex_token: Up
1776505047.455260 yylex_token: end at WS
1776505047.455262 yylex_token: send
1776505047.455263 yylex_token: end at WS
1776505047.455264 yylex_token: -X
1776505047.455266 yylex_token: end at WS
1776505047.455267 yylex_token: cursor-up
1776505047.455269 cmd_parse_build_commands 0:0: bind
1776505047.455270 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.455272 cmd_parse_build_commands 0:2: Up
1776505047.455274 cmd_parse_build_commands 0:3 0:0: send
1776505047.455275 cmd_parse_build_commands 0:3 0:1: -X
1776505047.455277 cmd_parse_build_commands 0:3 0:2: cursor-up
1776505047.455279 cmd_parse_build_commands 0:0: send
1776505047.455280 cmd_parse_build_commands 0:1: -X
1776505047.455282 cmd_parse_build_commands 0:2: cursor-up
1776505047.455284 args_parse_flags: next -X
1776505047.455285 args_parse_flags: -X
1776505047.455287 args_parse_flags: next cursor-up
1776505047.455288 args_parse: flags end at 2 of 3
1776505047.455290 args_parse: 2 = cursor-up (type STRING)
1776505047.455293 cmd_parse_build_commands: send-keys -X cursor-up
1776505047.455294 args_parse_flags: next -Tcopy-mode
1776505047.455296 args_parse_flag_argument: -T = copy-mode
1776505047.455297 args_parse_flags: next Up
1776505047.455299 args_parse: flags end at 2 of 4
1776505047.455300 args_parse: 2 = Up (type STRING)
1776505047.455303 args_parse: 3 = send-keys -X cursor-up (type COMMANDS)
1776505047.455307 cmd_parse_build_commands: bind-key -T copy-mode Up { send-keys -X cursor-up }
1776505047.455310 cmdq_get_command: [bind-key/0x5ff2b06354a0] group 1652
1776505047.455312 cmdq_append <global>: [bind-key/0x5ff2b06354a0]
1776505047.455316 yylex_token: end at WS
1776505047.455317 yylex_token: bind
1776505047.455321 yylex_token: end at WS
1776505047.455322 yylex_token: -Tcopy-mode
1776505047.455324 yylex_token: end at WS
1776505047.455325 yylex_token: Down
1776505047.455326 yylex_token: end at WS
1776505047.455328 yylex_token: send
1776505047.455329 yylex_token: end at WS
1776505047.455330 yylex_token: -X
1776505047.455332 yylex_token: end at WS
1776505047.455333 yylex_token: cursor-down
1776505047.455335 cmd_parse_build_commands 0:0: bind
1776505047.455337 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.455338 cmd_parse_build_commands 0:2: Down
1776505047.455340 cmd_parse_build_commands 0:3 0:0: send
1776505047.455341 cmd_parse_build_commands 0:3 0:1: -X
1776505047.455343 cmd_parse_build_commands 0:3 0:2: cursor-down
1776505047.455345 cmd_parse_build_commands 0:0: send
1776505047.455346 cmd_parse_build_commands 0:1: -X
1776505047.455348 cmd_parse_build_commands 0:2: cursor-down
1776505047.455351 args_parse_flags: next -X
1776505047.455352 args_parse_flags: -X
1776505047.455353 args_parse_flags: next cursor-down
1776505047.455355 args_parse: flags end at 2 of 3
1776505047.455356 args_parse: 2 = cursor-down (type STRING)
1776505047.455359 cmd_parse_build_commands: send-keys -X cursor-down
1776505047.455361 args_parse_flags: next -Tcopy-mode
1776505047.455363 args_parse_flag_argument: -T = copy-mode
1776505047.455364 args_parse_flags: next Down
1776505047.455365 args_parse: flags end at 2 of 4
1776505047.455367 args_parse: 2 = Down (type STRING)
1776505047.455370 args_parse: 3 = send-keys -X cursor-down (type COMMANDS)
1776505047.455374 cmd_parse_build_commands: bind-key -T copy-mode Down { send-keys -X cursor-down }
1776505047.455376 cmdq_get_command: [bind-key/0x5ff2b0635930] group 1660
1776505047.455378 cmdq_append <global>: [bind-key/0x5ff2b0635930]
1776505047.455381 yylex_token: end at WS
1776505047.455382 yylex_token: bind
1776505047.455384 yylex_token: end at WS
1776505047.455385 yylex_token: -Tcopy-mode
1776505047.455386 yylex_token: end at WS
1776505047.455388 yylex_token: Left
1776505047.455389 yylex_token: end at WS
1776505047.455390 yylex_token: send
1776505047.455392 yylex_token: end at WS
1776505047.455393 yylex_token: -X
1776505047.455395 yylex_token: end at WS
1776505047.455396 yylex_token: cursor-left
1776505047.455398 cmd_parse_build_commands 0:0: bind
1776505047.455399 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.455401 cmd_parse_build_commands 0:2: Left
1776505047.455402 cmd_parse_build_commands 0:3 0:0: send
1776505047.455404 cmd_parse_build_commands 0:3 0:1: -X
1776505047.455405 cmd_parse_build_commands 0:3 0:2: cursor-left
1776505047.455407 cmd_parse_build_commands 0:0: send
1776505047.455409 cmd_parse_build_commands 0:1: -X
1776505047.455410 cmd_parse_build_commands 0:2: cursor-left
1776505047.455413 args_parse_flags: next -X
1776505047.455414 args_parse_flags: -X
1776505047.455416 args_parse_flags: next cursor-left
1776505047.455417 args_parse: flags end at 2 of 3
1776505047.455419 args_parse: 2 = cursor-left (type STRING)
1776505047.455422 cmd_parse_build_commands: send-keys -X cursor-left
1776505047.455423 args_parse_flags: next -Tcopy-mode
1776505047.455425 args_parse_flag_argument: -T = copy-mode
1776505047.455426 args_parse_flags: next Left
1776505047.455428 args_parse: flags end at 2 of 4
1776505047.455429 args_parse: 2 = Left (type STRING)
1776505047.455432 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1776505047.455436 cmd_parse_build_commands: bind-key -T copy-mode Left { send-keys -X cursor-left }
1776505047.455438 cmdq_get_command: [bind-key/0x5ff2b0635f00] group 1668
1776505047.455440 cmdq_append <global>: [bind-key/0x5ff2b0635f00]
1776505047.455442 yylex_token: end at WS
1776505047.455444 yylex_token: bind
1776505047.455445 yylex_token: end at WS
1776505047.455447 yylex_token: -Tcopy-mode
1776505047.455448 yylex_token: end at WS
1776505047.455450 yylex_token: Right
1776505047.455451 yylex_token: end at WS
1776505047.455452 yylex_token: send
1776505047.455454 yylex_token: end at WS
1776505047.455455 yylex_token: -X
1776505047.455456 yylex_token: end at WS
1776505047.455460 yylex_token: cursor-right
1776505047.455462 cmd_parse_build_commands 0:0: bind
1776505047.455463 cmd_parse_build_commands 0:1: -Tcopy-mode
1776505047.455465 cmd_parse_build_commands 0:2: Right
1776505047.455467 cmd_parse_build_commands 0:3 0:0: send
1776505047.455468 cmd_parse_build_commands 0:3 0:1: -X
1776505047.455470 cmd_parse_build_commands 0:3 0:2: cursor-right
1776505047.455472 cmd_parse_build_commands 0:0: send
1776505047.455473 cmd_parse_build_commands 0:1: -X
1776505047.455475 cmd_parse_build_commands 0:2: cursor-right
1776505047.455477 args_parse_flags: next -X
1776505047.455479 args_parse_flags: -X
1776505047.455480 args_parse_flags: next cursor-right
1776505047.455481 args_parse: flags end at 2 of 3
1776505047.455483 args_parse: 2 = cursor-right (type STRING)
1776505047.455486 cmd_parse_build_commands: send-keys -X cursor-right
1776505047.455488 args_parse_flags: next -Tcopy-mode
1776505047.455489 args_parse_flag_argument: -T = copy-mode
1776505047.455490 args_parse_flags: next Right
1776505047.455492 args_parse: flags end at 2 of 4
1776505047.455493 args_parse: 2 = Right (type STRING)
1776505047.455496 args_parse: 3 = send-keys -X cursor-right (type COMMANDS)
1776505047.455500 cmd_parse_build_commands: bind-key -T copy-mode Right { send-keys -X cursor-right }
1776505047.455502 cmdq_get_command: [bind-key/0x5ff2b0636390] group 1676
1776505047.455504 cmdq_append <global>: [bind-key/0x5ff2b0636390]
